編號,成分名,INCI名,CAS_NO.,產品類型／使用範圍,限量標準,限制規定,應刊載之注意事項
1,Allantoin,Allantoin,97-59-6,,0.5%,,
2,Aluminum potassium bis(sulfate),Potassium alum,10043-67-1/7784-24-9,,1%,,
3,Alcloxa,Alcloxa,1317-25-5,,1%,,
4,"Bismuth nitrate, basic",Bismuth subnitrate,1304-85-4,,3%,,
5,Urea,Urea,57-13-6,(a)染髮產品(b)其他產品,(a)10%(b)5%,,
6,Zinc 4-hydroxybenzene sulphonate,Zinc phenolsulfonate,127-82-2,,2%,,
7,Cantharids tincture/Capsicum tincture/Ginger tincture,-,-,髮類產品,1%(總量),,
8,"Ascorbic acid, monoester with phosphoric acid, magnesium salt (2:3)",Magnesium ascorbyl phosphate,114040-31-2/113170-55-1,,3%,,
9,5-Hydroxy-2-hydroxymethyl-4-pyrone,Kojic acid,501-30-4,,2%,,
10,2-O-alpha-D-Glucopyranosyl-L-ascorbic acid,Ascorbyl glucoside,129499-78-1,,2%,,
11,4-Hydroxyphenyl-beta-D-glucopyranoside,Arbutin,497-76-7,,7%,製品中所含之不純物(Hydroquinone)應在20ppm以下。,
12,Sodium ascorbyl phosphate,Sodium ascorbyl phosphate,66170-10-3,,3%,,
13,"2,3,7,8-Tetrahydroxy-[1]-benzopyrano[5,4,3,-cde]-[1]- benzopyran-5,10-dione",Ellagic acid,476-66-4,,0.5%,,
14,Chamomile ET,-,-,,0.5%,,
15,"1,7,7-Trimethylbicyclo[2.2.1]-2-heptanone;Bornan-2-one",Camphor,-,,3%,,可能使用於二歲以下孩童之產品（立即沖洗產品得免刊載該注意事項）：二歲以下孩童使用前請諮詢醫師或藥師。
16,Menthol,Menthol,-,,,,可能使用於二歲以下孩童之產品（立即沖洗產品得免刊載該注意事項）：二歲以下孩童使用前請諮詢醫師或藥師。
17,Methyl salicylate,Methyl salicylate,119-36-8,,1%,,注意事項（立即沖洗產品得免刊載該注意事項）：1. 可能使用於二歲以下孩童之產品：二歲以下孩童使用前請諮詢醫師或藥師。2. Methyl Salicylate 之每日用量不得超過1.8gm，以免引起水楊酸中毒症狀，諸如呼吸困難及其他中樞神經中毒等症狀；對阿斯匹靈或水楊酸有過敏或敏感現象，使用前請諮詢醫師或藥師。
18,Arylsulfonamide–formaldehyde resin,Arylsulfonamide–formaldehyde resin,-,指甲用產品,25%,,
19,"Benzene, methyl-",Toluene,108-88-3,指甲用產品,25%,,避免兒童接觸。
20,3-O-ethyl ascorbic acid,3-O-ethyl ascorbic acid,86404-04-8,,2%,,
21,"Cyclohexanecarboxylic acid, 4-(aminomethyl)-, trans-",Tranexamic acid,1197-18-8,,3%,,
