編號,Color_Index_Number／成分名,別名,使用範圍,限制規定,備註
1,CI 10006,Pigment Green 8,4,,
2,CI 10020,"Acid Green 1
Ext. D&C Green No. 1
Naphthol Green B",3,不得使用於染髮用途化粧品。,
3,CI 10316,"Acid Yellow 1
Ext. D&C Yellow No. 7
Naphthol Yellow S",2,,
4,CI 11680,"Pigment Yellow 1
Ext. D&C Yellow No. 5
Hansa Yellow G",3,,
5,CI 11710,Pigment Yellow 3,3,,
6,CI 11725,"Pigment Orange 1
Hansa Yellow 3R",4,,
7,CI 11920,Food Orange 3,1,不得使用於染髮用途化粧品。,
8,CI 12010,Solvent Red 3,3,不得使用於染髮用途化粧品。,
9,CI 12085,"Pigment Red 4
D&C Red No. 36
Permanent Red",1,"1. 限量：3%
2.不得使用於染髮用途化粧品。",
10,CI 12120,"Pigment Red 3
D&C Red No. 35
Toluidine Red",4,,
11,CI 12370,Pigment Red 112,4,不得使用於染髮用途化粧品。,
12,CI 12420,Pigment Red 7,4,,
13,CI 12480,Pigment Brown 1,4,,
14,CI 12490,Pigment Red 5,1,不得使用於染髮用途化粧品。,
15,CI 12700,Disperse Yellow 16,4,,
16,CI 13015,"Acid Yellow 9
Food Yellow 2
Fast Yellow",1,,
17,CI 14270,Acid Orange 6,1,不得使用於染髮用途化粧品。,
18,CI 14700,"Food Red 1
FD&C Red No. 4
Ponceau SX",1,不得使用於染髮用途化粧品。,
19,CI 14720,"Acid Red 14
Food Red 3
Azorubin",1,,
20,CI 14815,Food Red 2,1,,
21,CI 15510,"Acid Orange 7
D&C Orange No. 4
Orange II",2,,
22,CI 15525,Pigment Red 68,1,,
23,CI 15580,Pigment Red 51,1,,
24,CI 15620,"Acid Red 88
Ext. D&C Red No. 8
Fast Red S",4,,
25,CI 15630,"Pigment Red 49
D&C Red No. 10
Lithol Red Na
Pigment Red 49:1
D&C Red No. 12
Lithol Red Ba
Pigment Red 49:2
D&C Red No. 11
Lithol Red Ca
Pigment Red 49:3
D&C Red No. 13
Lithol Red Sr",1,限量：3%,
26,CI 15800,"Pigment Red 64
Pigment Red 64:1
D&C Red No. 31
Brilliant Lake Red R",3,不得使用於染髮用途化粧品。,
27,CI 15850,"Pigment Red 57
D&C Red No. 6
Lithol Rubine B
Pigment Red 57:1
D&C Red No. 7
Lithol Rubine B Ca",1,,
28,CI 15865,"Pigment Red 48
Permanent Red F5R",1,不得使用於染髮用途化粧品。,
29,CI 15880,"Pigment Red 63
Pigment Red 63:1
D&C Red No. 34
Deep Maroon",1,不得使用於染髮用途化粧品。,
30,CI 15980,Food Orange 2,1,,
31,CI 15985,"Food Yellow 3
FD&C Yellow No. 6
Sunset Yellow FCF",1,,
32,CI 16035,"Food Red 17
FD&C Red No. 40
Allura Red Ac",1,,
33,CI 16185,"Food Red 9
Acid Red 27",1,不得使用於染髮用途化粧品。,
34,CI 16230,Acid Orange 10,3,,
35,CI 16255,"Acid Red 18
Food Red 7
New Coccine",1,,
36,CI 16290,Food Red 8,1,,
37,CI 17200,"Acid Red 33
D&C Red No. 33
Fast Acid Magenta
Food Red 12",1,,
38,CI 18050,"Acid Red 1
Food Red 10
Fast Crimson 1",3,,
39,CI 18130,Acid Red 155,4,,
40,CI 18690,Acid Yellow 121,4,,
41,CI 18736,Acid Red 180,4,,
42,CI 18820,"Acid Yellow 11
Ext. D&C Yellow No. 3
Fast Light Yellow 3G",4,,
43,CI 18965,Food Yellow 5,1,,
44,CI 19140,"Acid Yellow 23
FD&C Yellow No. 5
Tartrazine
Food Yellow 4",1,,
45,CI 20040,Pigment Yellow 16,4,,
46,CI 20470,"Acid Black 1
Solvent Brown 12
Naphthol Blue Black",4,,
47,CI 21100,Pigment Yellow 13,4,不得使用於染髮用途化粧品。,
