編號,成分名,INCI名,CAS_No.,產品類型／使用範圍,限量標準,限制規定,應刊載之注意事項
1,Alkyl (C12-22) trimethyl ammonium bromide and chloride,"Behentrimonium chloride(1)/
Cetrimonium bromide/
Cetrimonium chloride(1)/
Laurtrimonium bromide/
Laurtrimonium chloroide/
Steartrimonium bromide/
Steartrimonium chloride(1)","17301-53-0/
57-09-0/
112-02-7/
1119-94-4/
112-00-5/
1120-02-1/
112-03-8",,0.1 %,,
2,"Benzalkonium chloride, bromide and saccharinate(1)","Benzalkonium chloride/
Benzalkonium bromide/
Benzalkonium saccharinate
","8001-54-5/
91080-29-4/
61789-71-7/
63449-41-2/
68391-01-5/
68424-85-1/
68989-01-5/
85409-22-9",,0.1 % (以benzalkonium chloride計),,使用時避免接觸眼睛。
3,"Benzenemethanaminium, N,N-dimethyl-N-[2-[2-[4-(1,1,3,3,-tetramethylbutyl)pheno-xy]ethoxy] ethyl]-, chloride",Benzethonium chloride	,121-54-0,"(a)	立即沖洗產品
(b)	非立即沖洗產品(口腔製劑除外)	
",0.1 %,,
4,Salts of benzoic acid and esters of benzoic acid,"Ammonium benzoate/
Butyl benzoate/
Calcium benzoate/
Ethyl benzoate/
Isobutyl benzoate/
Isopropyl benzoate/
Magnesium benzoate/
MEA-benzoate/
Methyl benzoate/
Phenyl benzoate/
Potassium benzoate/
Propyl benzoate/","1863-63-4/
2090-05-3/
582-25-2/
553-70-8/
4337-66-0/
93-58-3/
93-89-0/
2315-68-6/
136-60-7/
1205-50-3/
939-48-0/
93-99-2/",,0.5 % (以acid計),,
5,Benzoic acid and its sodium salt,"Benzoic acid/
Sodium benzoate","65-85-0/
532-32-1","(a)立即沖洗產品(口腔製劑除外)
(b)非立即沖洗產品
(c)口腔製劑","(a) 2.5 % (以acid計)
(b) 0.5 % (以acid計)
(c) 1.7 % (以acid計)",,
6,Benzyl alcohol,Benzyl alcohol,100-51-6 ,,1 %,,
7,2-Benzyl-4-chlorophenol	,Chlorophene,120-32-1,,0.2 %,,
8,Tosylchloramide sodium	,Chloramine T	,127-65-1	,,0.2 %,,
9,"N,N'-bis(4-chlorophenyl)-3,12-diimino-2,4,11,13-tetraazat-etradecanediamidine and its digluconate, diacetate and dihydrochloride","Chlorhexidine/
Chlorhexidine digluconate/
Chlorhexidine dihydrochloride/
Chlorhexidine diacetate","55-56-1/
18472-51-0/
3697-42-5
56-95-1/",,0.3 % (以 chlorhexidine計),,
10,Chlorobutanol	,Chlorobutanol	,57-15-8		,,0.5 %                                                  	,不得使用於噴霧類產品。	,含Chlorobutanol
11,Chlorocresol	,p-Chloro-m-cresol	,59-50-7		,	,0.2 %,不得使用於接觸黏膜部位產品。,
12,Chloroxylenol	,Chloroxylenol	,"88-04-0/
1321-23-9		
","　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	
",0.5%　,,
13,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, monohydrate and 1,2,3-Propanetricarboxylic acid, 2-hydroxy-, silver(1+) salt, monohydrate",Citric acid (and) Silver citrate,-,,0.2 % (相當於silver 0.0024 %)	,不得使用於口腔與眼部產品。,
14,"1-(4-Chlorophenoxy)-1-(imi-dazol-1-yl)-3,3-dimethylbutan-2-one	",Climbazole	,38083-17-9,,0.5 %,,
15,"3-Acetyl-6-methylpyran-2,4 (3H)-dione and its salts	
","Dehydroacetic acid/
Sodium dehydroacetate	","520-45-6/
16807-48-0/
4418-26-2",,0.6 % (以acid計)	,不得使用於噴霧類產品。,
16,"4,4-Dimethyl-1,3-oxazolidine	",Dimethyl oxazolidine	,51200-87-4		,,0.1 %	,pH>6,
17,"2,2'-Methylenebis(6-bromo-4-chlorophenol)	",Bromochlorophene	,15435-29-7		,,"0.1 %
",,
18,"3,3'-Dibromo-4,4'-hexameth-ylene dioxydibenzamidine and its salts
(including isethionate)	
",Dibromohexamidine isethionate	,93856-83-8		,,0.1 %,,
19,"2,4-Dichlorobenzyl alcohol	",Dichlorobenzyl alcohol 	,1777-82-8	,,0.15 %,,
20,Ethyl-N-alpha-dodecanoyl-L-arginate hydrochloride(1)	,Ethyl lauroyl arginate HCl,60372-77-2,"(a)漱口水產品
(b)其他產品","(a) 0.15 %
(b) 0.4 % ","(a)不得使用於10歲以下孩童之產品。
(b)不得使用於唇部、口腔 (漱口水除外)及噴霧類產品。	
",(a)不得使用於10歲以下孩童。
21,"5-Ethyl-3,7-dioxa-1-azabicyc-lo [3.3.0] octane	",7-Ethylbicyclooxazolidine,7747-35-5,,0.3 %                                                                                           	,不得使用於口腔及接觸黏膜部位產品。,
22,Formic acid and its sodium salt	,"Formic acid/
Sodium formate	","64-18-6/
141-53-7		",,"0.5 % (以acid計)
",,
